scenario,step,governed,protected_present,directive_count,transitions
slow_ramp_challenge,98,0,1,0,0
slow_ramp_challenge,99,0,1,0,0
slow_ramp_challenge,100,0,1,0,0
slow_ramp_challenge,101,0,1,0,0
slow_ramp_challenge,102,0,1,0,0
slow_ramp_challenge,103,0,1,0,0
slow_ramp_challenge,104,0,1,0,0
slow_ramp_challenge,105,0,1,0,0
slow_ramp_challenge,106,0,1,0,0
slow_ramp_challenge,107,0,1,0,0
slow_ramp_challenge,108,0,1,0,0
slow_ramp_challenge,109,0,1,0,0
slow_ramp_challenge,110,0,1,0,0
slow_ramp_challenge,111,0,1,0,0
slow_ramp_challenge,112,0,1,0,0
slow_ramp_challenge,113,0,1,0,0
slow_ramp_challenge,114,0,1,0,0
slow_ramp_challenge,115,0,1,0,0
slow_ramp_challenge,116,0,1,0,0
slow_ramp_challenge,117,0,1,0,0
slow_ramp_challenge,118,0,1,0,0
slow_ramp_challenge,119,0,1,0,0
slow_ramp_challenge,120,0,1,0,0
slow_ramp_challenge,121,0,1,0,0
slow_ramp_challenge,122,0,1,0,0
slow_ramp_challenge,123,0,1,0,0
slow_ramp_challenge,124,0,1,0,0
slow_ramp_challenge,125,0,1,0,0
slow_ramp_challenge,126,0,1,0,0
slow_ramp_challenge,127,0,1,0,0
slow_ramp_challenge,128,0,1,0,0
slow_ramp_challenge,129,0,1,0,0
slow_ramp_challenge,130,0,1,0,0
slow_ramp_challenge,131,0,1,0,0
slow_ramp_challenge,132,0,1,0,0
slow_ramp_challenge,133,0,1,0,0
slow_ramp_challenge,134,0,1,0,0
slow_ramp_challenge,135,0,1,0,0
slow_ramp_challenge,136,0,1,0,0
slow_ramp_challenge,137,0,1,0,0
slow_ramp_challenge,138,0,1,0,0
slow_ramp_challenge,139,0,1,0,0
slow_ramp_challenge,140,0,1,0,0
slow_ramp_challenge,141,0,1,0,0
slow_ramp_challenge,142,0,1,0,0
slow_ramp_challenge,143,0,1,0,0
slow_ramp_challenge,144,0,1,0,0
slow_ramp_challenge,145,0,1,0,0
slow_ramp_challenge,146,0,1,0,0
slow_ramp_challenge,147,0,1,0,0
slow_ramp_challenge,148,0,1,0,0
slow_ramp_challenge,149,0,1,0,0
slow_ramp_challenge,150,0,1,0,0
slow_ramp_challenge,151,0,1,0,0
slow_ramp_challenge,152,0,1,0,0
slow_ramp_challenge,153,0,1,0,0
slow_ramp_challenge,154,0,1,0,0
slow_ramp_challenge,155,0,1,0,0
slow_ramp_challenge,156,0,1,0,0
slow_ramp_challenge,157,0,1,0,0
slow_ramp_challenge,158,0,1,0,0
slow_ramp_challenge,159,0,1,0,0
slow_ramp_challenge,160,0,1,0,0
slow_ramp_challenge,161,0,1,0,0
slow_ramp_challenge,162,0,1,0,0
slow_ramp_challenge,163,0,1,0,0
slow_ramp_challenge,164,0,1,0,0
slow_ramp_challenge,165,0,1,0,0
slow_ramp_challenge,166,0,1,0,0
slow_ramp_challenge,167,0,1,0,0
slow_ramp_challenge,168,0,1,0,0
slow_ramp_challenge,169,0,1,0,0
slow_ramp_challenge,170,0,1,0,0
slow_ramp_challenge,171,0,1,0,0
slow_ramp_challenge,172,0,1,0,0
slow_ramp_challenge,173,0,1,0,0
slow_ramp_challenge,174,0,1,0,0
slow_ramp_challenge,175,0,1,0,0
slow_ramp_challenge,176,0,1,0,0
slow_ramp_challenge,177,0,1,0,0
slow_ramp_challenge,178,0,1,0,0
slow_ramp_challenge,179,0,1,0,0
slow_ramp_challenge,180,0,1,0,0
slow_ramp_challenge,181,0,1,0,0
slow_ramp_challenge,182,0,1,0,0
slow_ramp_challenge,183,0,1,0,0
slow_ramp_challenge,184,0,1,0,0
slow_ramp_challenge,185,0,1,0,0
slow_ramp_challenge,186,0,1,0,0
slow_ramp_challenge,187,0,1,0,0
slow_ramp_challenge,188,0,1,0,0
slow_ramp_challenge,189,0,1,0,0
slow_ramp_challenge,190,0,1,0,0
slow_ramp_challenge,191,0,1,0,0
slow_ramp_challenge,192,0,1,0,0
slow_ramp_challenge,193,0,1,0,0
slow_ramp_challenge,194,0,1,0,0
slow_ramp_challenge,195,0,1,0,0
slow_ramp_challenge,196,0,1,0,0
slow_ramp_challenge,197,0,1,0,0
slow_ramp_challenge,198,0,1,0,0
slow_ramp_challenge,199,0,1,0,0
slow_ramp_challenge,200,0,1,0,0
slow_ramp_challenge,201,0,1,0,0
slow_ramp_challenge,202,0,1,0,0
slow_ramp_challenge,203,0,1,0,0
slow_ramp_challenge,204,0,1,0,0
slow_ramp_challenge,205,0,1,0,0
slow_ramp_challenge,206,0,1,0,0
slow_ramp_challenge,207,0,1,0,0
slow_ramp_challenge,208,0,1,0,0
slow_ramp_challenge,209,0,1,0,0
slow_ramp_challenge,210,0,1,0,0
slow_ramp_challenge,211,0,1,0,0
slow_ramp_challenge,212,0,1,0,0
slow_ramp_challenge,213,0,1,0,0
slow_ramp_challenge,214,0,1,0,0
shifted_baseline_challenge,0,0,1,0,0
shifted_baseline_challenge,1,0,1,0,0
shifted_baseline_challenge,2,0,1,0,0
shifted_baseline_challenge,3,0,1,0,0
shifted_baseline_challenge,4,0,1,0,0
shifted_baseline_challenge,5,0,1,0,0
shifted_baseline_challenge,6,0,1,0,0
shifted_baseline_challenge,7,0,1,0,0
shifted_baseline_challenge,8,0,1,0,0
shifted_baseline_challenge,9,0,1,0,0
shifted_baseline_challenge,10,0,1,0,0
shifted_baseline_challenge,11,0,1,0,0
shifted_baseline_challenge,12,0,1,0,0
shifted_baseline_challenge,13,0,1,0,0
shifted_baseline_challenge,14,0,1,0,0
shifted_baseline_challenge,15,0,1,0,0
shifted_baseline_challenge,16,0,1,0,0
shifted_baseline_challenge,17,0,1,0,0
shifted_baseline_challenge,18,0,1,0,0
shifted_baseline_challenge,19,0,1,0,0
shifted_baseline_challenge,20,0,1,0,0
shifted_baseline_challenge,21,0,1,0,0
shifted_baseline_challenge,22,0,1,0,0
shifted_baseline_challenge,23,0,1,0,0
shifted_baseline_challenge,24,0,1,0,0
shifted_baseline_challenge,25,0,1,0,0
shifted_baseline_challenge,26,0,1,0,0
shifted_baseline_challenge,27,0,1,0,0
shifted_baseline_challenge,28,0,1,0,0
shifted_baseline_challenge,29,0,1,0,0
shifted_baseline_challenge,30,0,1,0,0
shifted_baseline_challenge,31,0,1,0,0
shifted_baseline_challenge,32,0,1,0,0
shifted_baseline_challenge,33,0,1,0,0
shifted_baseline_challenge,34,0,1,0,0
shifted_baseline_challenge,35,0,1,0,0
shifted_baseline_challenge,36,0,1,0,0
shifted_baseline_challenge,37,0,1,0,0
shifted_baseline_challenge,38,0,1,0,0
shifted_baseline_challenge,39,0,1,0,0
shifted_baseline_challenge,40,0,1,0,0
shifted_baseline_challenge,41,0,1,0,0
shifted_baseline_challenge,42,0,1,0,0
shifted_baseline_challenge,43,0,1,0,0
shifted_baseline_challenge,44,0,1,0,0
shifted_baseline_challenge,45,0,1,0,0
shifted_baseline_challenge,46,0,1,0,0
shifted_baseline_challenge,47,0,1,0,0
shifted_baseline_challenge,48,0,1,0,0
shifted_baseline_challenge,49,0,1,0,0
shifted_baseline_challenge,50,0,1,0,0
shifted_baseline_challenge,51,0,1,0,0
shifted_baseline_challenge,52,0,1,0,0
shifted_baseline_challenge,53,0,1,0,0
shifted_baseline_challenge,54,0,1,0,0
